src,tgt
21-23+31=,29
(37+16)-13=,40
23*(19+47)=,1518
14*(37+32)=,966
(24-10)+31=,45
27+(40-34)=,33
(46-30)*33=,528
13-(28*34)=,-939
42+(34*30)=,1062
46+(25-25)=,46
40+(19-37)=,22
18-12+16=,22
37*22-34=,780
(12-19)+48=,41
(37*29)-39=,1034
(13+34)-27=,20
48*21*36=,36288
34*18*49=,29988
46*(33-41)=,-368
33*21+18=,711
26-10*42=,-394
49*35-10=,1705
36*10-48=,312
(36*33)-22=,1166
(22+25)-30=,17
15+14-41=,-12
24+26-14=,36
11*28+29=,337
44-37+24=,31
(45+34)-10=,69
15-34*37=,-1243
27*48-16=,1280
41*32*27=,35424
(42*25)-48=,1002
(47*38)+49=,1835
(40-32)+13=,21
21-(38*14)=,-511
28+25+19=,72
21*31+29=,680
46+(39*25)=,1021
35*(32-16)=,560
23+26-39=,10
(39*30)-41=,1129
20-44*14=,-596
(13+40)-16=,37
46-(36+20)=,-10
23+40+47=,110
18*48+35=,899
(42*17)-29=,685
15+(28-32)=,11
21*(13+34)=,987
41+(29*13)=,418
14+(34-37)=,11
14-(47+40)=,-73
10*36-10=,350
31+33-39=,25
39+36+23=,98
15*11-47=,118
(25+33)*21=,1218
27*26+37=,739
25+18*19=,367
30*13+44=,434
(29*36)-14=,1030
16*19*27=,8208
39+24-18=,45
34-(12+31)=,-9
(45-23)*36=,792
(16*29)+29=,493
(49+21)-16=,54
40*46-24=,1816
29-15*25=,-346
26-16-23=,-13
22-(28+42)=,-48
25*39-15=,960
22+(27-22)=,27
(11-46)+21=,-14
37-11-10=,16
23*48+40=,1144
(42*41)+35=,1757
(24*12)-28=,260
(35-38)*48=,-144
(35-47)*16=,-192
32*(38-46)=,-256
36*21-11=,745
(12*23)-14=,262
14-(21*21)=,-427
10*47+38=,508
11*(13-30)=,-187
(17+38)*13=,715
17-25+13=,5
(33*28)-17=,907
30+(48*41)=,1998
37-(10*38)=,-343
25*33-36=,789
(14*48)+43=,715
27*35-39=,906
35-(30+41)=,-36
(32-16)+12=,28
15*11*19=,3135
19+(49-16)=,52
37*(12+16)=,1036
29*(46+49)=,2755
(45-37)+36=,44
(46*29)-15=,1319
17*(20+14)=,578
25*41+20=,1045
(39*45)-33=,1722
25+25*39=,1000
14*(20+43)=,882
(16*19)+17=,321
17-35-23=,-41
(38-13)*16=,400
33-16*18=,-255
47*(44-44)=,0
(27-38)*16=,-176
35*10-31=,319
(11*13)+29=,172
(12*21)-10=,242
(43*29)-34=,1213
(24-44)*39=,-780
40-25+23=,38
36+29-25=,40
47*47-43=,2166
36-22+12=,26
(20-41)*47=,-987
17-19*20=,-363
47*(40-47)=,-329
(16*20)-44=,276
37+(37-38)=,36
(22-24)+48=,46
(45-34)*31=,341
(32+47)-47=,32
(38*16)-34=,574
36*(29+44)=,2628
(10+41)-37=,14
27*34+13=,931
10-(22*37)=,-804
44*26-49=,1095
38+(17-26)=,29
19+28*48=,1363
17+21*25=,542
30+(25*36)=,930
31*20*33=,20460
(26+44)*38=,2660
(33*22)+11=,737
(32*15)-42=,438
25-48+11=,-12
33+15*24=,393
37+35*45=,1612
26*(35-36)=,-26
49-(13+13)=,23
31-19+38=,50
35+(33-40)=,28
(30-21)+21=,30
48-31-33=,-16
15*24+24=,384
24-48*48=,-2280
33+41*49=,2042
11+15-35=,-9
(31*18)+46=,604
(33-48)*18=,-270
(25-43)+15=,-3
27+48+46=,121
24+(32*34)=,1112
37+(46*27)=,1279
20-11-37=,-28
11*(44-45)=,-11
(25-46)*44=,-924
45*39-15=,1740
(12*42)-38=,466
43-13+33=,63
(29+32)-25=,36
(25+47)*44=,3168
16*(37-17)=,320
48*(28-49)=,-1008
40*(10-34)=,-960
41*41*27=,45387
(27-22)*32=,160
46*(30-32)=,-92
39+25*36=,939
(41*20)+16=,836
36-48*38=,-1788
39+46*48=,2247
(12*28)-36=,300
11-18+41=,34
35+(42-34)=,43
(46+38)*31=,2604
23*(39+10)=,1127
(35+43)-17=,61
(38+39)-41=,36
22*27*32=,19008
22*38-14=,822
30-(10*25)=,-220
47*(40-39)=,47
19+17-14=,22
(26-17)+41=,50
(20+10)*48=,1440
(11+46)*26=,1482
46*22+47=,1059
22*39*36=,30888
37-(18*45)=,-773
20-29+10=,1
42+30-38=,34
(35+14)-13=,36
36+(33-28)=,41
29-45*21=,-916
36-22*46=,-976
(24*22)+18=,546
30*(44-29)=,450
(46+38)-37=,47
(31+31)*15=,930
19-11*29=,-300
39-26*10=,-221
29*21*46=,28014
(29-16)+36=,49
18+(32-25)=,25
33-39-18=,-24
(14*38)+10=,542
(28*29)+49=,861
(29+10)-11=,28
34-(20+24)=,-10
41+(10*36)=,401
49*44-48=,2108
10-15-29=,-34
29-(10*45)=,-421
(49*10)+10=,500
32-31+42=,43
30+(18*30)=,570
(22+39)-34=,27
30+(47*10)=,500
49*16+35=,819
(25+10)-44=,-9
(41-12)+14=,43
(26+32)*47=,2726
24-46-28=,-50
47+30+45=,122
35-37*14=,-483
(33+35)-21=,47
(44*35)+25=,1565
(41-24)*36=,612
23*44-45=,967
40-24-42=,-26
41-47-39=,-45
(47-10)*24=,888
21*21-38=,403
24+23*49=,1151
(35-23)*36=,432
40+42-12=,70
13+(34*20)=,693
32-24+34=,42
10+38-23=,25
36*42*37=,55944
46-(34*23)=,-736
(24*29)+49=,745
22-(47*38)=,-1764
49+12+40=,101
20*17+37=,377
36*(15+14)=,1044
47*19-18=,875
19*48-44=,868
15+42-41=,16
40*(44-27)=,680
28-38-42=,-52
(10-10)+41=,41
15+33-37=,11
(11+31)-25=,17
16*(17-13)=,64
(26*40)-25=,1015
44+(34*17)=,622
38-(22+47)=,-31
12+41-36=,17
10*(43+24)=,670
11+15-34=,-8
25-27+23=,21
37*(43+11)=,1998
42+(11*42)=,504
15+18-35=,-2
22-19-45=,-42
42-11+13=,44
46+45-23=,68
(25-35)*20=,-200
(45+42)*21=,1827
(34+14)-45=,3
34-14*26=,-330
28-34+13=,7
21-21-11=,-11
37+(30*46)=,1417
19+15*36=,559
15-(27+14)=,-26
22*(44+30)=,1628
46*(24+34)=,2668
33+33-17=,49
(36*35)+31=,1291
18*(44-10)=,612
26*(18+15)=,858
44-11+31=,64
15+12*42=,519
47-31*30=,-883
(34-23)+36=,47
34+42*17=,748
(28-40)*45=,-540
34-(13+20)=,1
39-24-33=,-18
(34+26)-31=,29
27-10+10=,27
44*29-45=,1231
12+13*31=,415
41*40-47=,1593
13-27*33=,-878
35*(41-33)=,280
24*(13-27)=,-336
(11-29)*46=,-828
20*41+42=,862
20+(16-15)=,21
46*33*23=,34914
45+41+14=,100
(37+27)-14=,50
(42-26)+46=,62
48-11-10=,27
(33-46)*44=,-572
11+36-33=,14
20*(22-32)=,-200
(46+35)-36=,45
16+17-30=,3
30-15*47=,-675
45*30-15=,1335
46*17-18=,764
17*(12-22)=,-170
(34-25)+31=,40
43*23+10=,999
40*(36-19)=,680
(43+34)*45=,3465
29+24*38=,941
38-(13*44)=,-534
36+(18-32)=,22
15-39+37=,13
13+40+10=,63
(32*33)+12=,1068
37*(11-16)=,-185
(21-10)+46=,57
(39+33)*33=,2376
(27+44)*33=,2343
14+33-30=,17
(26*49)+20=,1294
14*34+40=,516
38+(19-15)=,42
45*(29+26)=,2475
12*12*15=,2160
(26-15)+24=,35
34-44*25=,-1066
44+(49-31)=,62
(28-13)*47=,705
16+(48-11)=,53
33-(16+17)=,0
43-10*20=,-157
(22+33)-43=,12
(10+15)-27=,-2
(20+38)*29=,1682
39+44-11=,72
(18-37)+10=,-9
(23+44)-10=,57
20*32*41=,26240
31-(16*31)=,-465
(11+44)-24=,31
25+10*31=,335
37+31*19=,626
(43*48)+17=,2081
(35*32)+13=,1133
16*(42+32)=,1184
49-(24+47)=,-22
46-(44+11)=,-9
17+(41*20)=,837
36+43*25=,1111
25-40-13=,-28
14*49-16=,670
49-17*26=,-393
28+39-20=,47
48+36*40=,1488
(28+16)-33=,11
48+(39-44)=,43
(40-41)+34=,33
32+(49-29)=,52
(16*40)-14=,626
32-(27*23)=,-589
29*(18+34)=,1508
(36+42)*15=,1170
43-(34+26)=,-17
30+28+41=,99
19-29-49=,-59
(24*17)+18=,426
37+39-48=,28
40*22+20=,900
31-43*37=,-1560
33-13*12=,-123
16*(29+13)=,672
(43+21)*44=,2816
28-(20+33)=,-25
38*(17-47)=,-1140
(39-29)+34=,44
(47+39)*15=,1290
49*10*43=,21070
35+47-49=,33
38+(18*43)=,812
18*18*17=,5508
(29-44)*38=,-570
16+(21-36)=,1
11-10*42=,-409
14*45+33=,663
36+36-15=,57
35-44-37=,-46
38*(30-39)=,-342
12*(43+39)=,984
37-(39*41)=,-1562
43-14*29=,-363
28*46-26=,1262
23*(27-43)=,-368
49-38-39=,-28
49*(32+43)=,3675
(46-20)*47=,1222
(31-34)*40=,-120
21+41-21=,41
(33+49)*16=,1312
39*36-15=,1389
23*(14-15)=,-23
49+28-14=,63
(46*38)+20=,1768
10*(47+11)=,580
35*49+45=,1760
(14*43)-42=,560
17+(41-45)=,13
24+(12-12)=,24
42-15*36=,-498
(24-32)*45=,-360
27*38+30=,1056
(31*47)+20=,1477
49-(14+17)=,18
15+24*18=,447
26*(30-24)=,156
49+(34-39)=,44
34-(36+30)=,-32
25*21+48=,573
12*33-47=,349
37-(39+23)=,-25
18*(10-35)=,-450
28+35*34=,1218
35*36*11=,13860
37+12+40=,89
(44-40)+32=,36
(43*38)-22=,1612
24*(45+44)=,2136
21+(12-12)=,21
(15*30)+34=,484
(35*26)+37=,947
29+(26*40)=,1069
30-10+49=,69
23*(29-39)=,-230
42*10*20=,8400
(14-40)*12=,-312
44*31-19=,1345
34*(39-41)=,-68
(19-38)*24=,-456
(38*44)-22=,1650
(36-27)+28=,37
49+(25-18)=,56
39*(37-42)=,-195
(39-48)+36=,27
49*45+33=,2238
49-(29*36)=,-995
(38-25)+33=,46
(32*25)-16=,784
12*20*36=,8640
(26*37)-20=,942
13-(20*31)=,-607
17-(34*15)=,-493
(15+43)-16=,42
40-23*43=,-949
(37*21)-23=,754
(47*41)+31=,1958
(37*18)+17=,683
20+(33*47)=,1571
(45*40)+43=,1843
(25*39)+21=,996
(14+14)*33=,924
23*(20-12)=,184
(23*46)-17=,1041
26*(29-30)=,-26
(47+32)-33=,46
48*34+45=,1677
39-39*45=,-1716
42+15*25=,417
28-(19*30)=,-542
(37+18)-42=,13
34+29*31=,933
26+36-29=,33
(13-33)*14=,-280
48+(18-12)=,54
11+(15*14)=,221
24+(43-26)=,41
47+35+12=,94
31*32-23=,969
(21-22)*23=,-23
25+(46-28)=,43
26-41+17=,2
(18-47)+10=,-19
(29+22)*41=,2091
33*41+10=,1363
34*33-36=,1086
16*10-24=,136
(49*41)+36=,2045
30+34*28=,982
(40*34)-14=,1346
18*(37-44)=,-126
(21+19)-28=,12
45*(10+19)=,1305
30*43*44=,56760
(30-27)*36=,108
17+(37-14)=,40
21+(48*28)=,1365
45-(39+21)=,-15
29+44-16=,57
(33*44)+31=,1483
16+(38*16)=,624
31*(23+22)=,1395
20+(40-25)=,35
(39*37)-19=,1424
33+(18*23)=,447
(41+17)-38=,20
42+19-47=,14
(23+30)*30=,1590
33+(27*43)=,1194
32-(13*26)=,-306
12*47-15=,549
42*43-45=,1761
(25-23)*14=,28
20-(42*43)=,-1786
37-(38*10)=,-343
(10*15)+17=,167
25*(11+31)=,1050
11+31-20=,22
43*21*30=,27090
16+(11*47)=,533
26-(49*23)=,-1101
(48-25)+49=,72
(22+47)*31=,2139
45-45-23=,-23
23-(17+24)=,-18
21-41-31=,-51
38+14*47=,696
35+12+36=,83
(23+31)-20=,34
(45-46)+35=,34
25*35*44=,38500
33-35-27=,-29
20-23*14=,-302
42+19*22=,460
15+(27*10)=,285
33+(22*11)=,275
41+(18-15)=,44
12*(15+21)=,432
28+23-26=,25
44*(45+25)=,3080
40-(20+34)=,-14
37*(13-15)=,-74
41+(32*23)=,777
(47+28)-16=,59
(19*49)+11=,942
34*(21-41)=,-680
12-48-27=,-63
(30*17)-49=,461
38-(27+45)=,-34
13*(46-30)=,208
47*39-16=,1817
25*(16-10)=,150
(26+49)*40=,3000
35-22-27=,-14
15*43*32=,20640
46+(24*14)=,382
39*31+43=,1252
49-17+35=,67
36-(39+33)=,-36
(12-19)*32=,-224
21-24-47=,-50
(41+44)*49=,4165
28-(33*27)=,-863
(21+31)-46=,6
(38+36)*29=,2146
(16*25)+48=,448
21+14-21=,14
40*(42-20)=,880
(22*46)+31=,1043
(20-40)+41=,21
17*12-30=,174
(41*44)-11=,1793
(29+40)*19=,1311
(29+11)-23=,17
30-11-16=,3
29-(24*38)=,-883
(36+19)*15=,825
32-42*24=,-976
11*30*40=,13200
26-18*11=,-172
24*38*29=,26448
(13+29)*23=,966
13-10-46=,-43
(35+42)*42=,3234
24*(22+32)=,1296
(43*10)-26=,404
21-(34+21)=,-34
(28+37)-38=,27
(44+44)*23=,2024
20*10-31=,169
(41-12)*35=,1015
41*(26-43)=,-697
35+(28*40)=,1155
(22*17)-30=,344
(10*25)-43=,207
(43*25)-27=,1048
34-(17*10)=,-136
24-(39+21)=,-36
31+27*30=,841
18+15*12=,198
(20-49)*37=,-1073
33*(25+35)=,1980
(46*47)-20=,2142
13*24*36=,11232
(46-25)+40=,61
(26-23)*33=,99
48-34+42=,56
29+10-42=,-3
44+42*34=,1472
33+42-18=,57
14-36*26=,-922
15*31-16=,449
12*38-34=,422
49+(20-27)=,42
16+(17*49)=,849
28*24+32=,704
19-(17*23)=,-372
41-31-15=,-5
22-30*14=,-398
36*42*38=,57456
(22-23)*11=,-11
29+10+40=,79
(35-23)*40=,480
12-(47+15)=,-50
41+20*34=,721
(27-34)+44=,37
12-(22*12)=,-252
(47-30)+24=,41
30-(48*33)=,-1554
31-(38+25)=,-32
30*11+47=,377
14-(18*47)=,-832
43-19+20=,44
18-(38*47)=,-1768
(18*30)-38=,502
26*15*43=,16770
(27*34)+34=,952
14+21*40=,854
13+25*36=,913
15-39+46=,22
14*(10-10)=,0
41*42-23=,1699
19+(13-25)=,7
12-46+11=,-23
15+(47*20)=,955
35-(33+23)=,-21
(13+39)-30=,22
19+(25*40)=,1019
18*(36-19)=,306
27+(16*15)=,267
39-35+42=,46
23-47*17=,-776
22*(20+46)=,1452
10*41*13=,5330
10*(18+45)=,630
34*(20+45)=,2210
24*46+45=,1149
31*(33-16)=,527
(11*11)-19=,102
21-(33*27)=,-870
46-(38*27)=,-980
42-(13+29)=,0
18*14+46=,298
44+(24*46)=,1148
47-(36*42)=,-1465
43+(18-32)=,29
34+41+32=,107
44+(34-33)=,45
29-16-30=,-17
(48-17)+10=,41
29-(28*22)=,-587
24-(38+38)=,-52
15+(20-16)=,19
35*(37-41)=,-140
17*(48+43)=,1547
24-43+17=,-2
15-22*23=,-491
(12+48)-40=,20
39+12+49=,100
15-(11*14)=,-139
35*(13-32)=,-665
26+34*22=,774
36-34*46=,-1528
43+(34-46)=,31
31*14*15=,6510
30*(47-47)=,0
45*(40+33)=,3285
11+(47-21)=,37
25+(24*31)=,769
(36*25)+40=,940
(48-10)*48=,1824
42-(30*33)=,-948
33-16-44=,-27
46-26-19=,1
27+15-27=,15
49*(15+31)=,2254
18*(14+23)=,666
39+31-31=,39
46+(26*46)=,1242
46+24+35=,105
42-(21+27)=,-6
43*23-21=,968
11*18*35=,6930
43-20+46=,69
(12*41)+24=,516
31-17+21=,35
(19*18)-21=,321
(41+20)-41=,20
34*45+24=,1554
23*13+39=,338
37*28*12=,12432
(31+23)-17=,37
48*23+45=,1149
15*23-46=,299
(34*17)-31=,547
16*43+11=,699
34+10+18=,62
13*39*16=,8112
34+10+25=,69
38-(26*10)=,-222
49*(11+48)=,2891
14*10+17=,157
(14*46)-22=,622
(44*35)-12=,1528
(12*36)+24=,456
(15-10)+17=,22
21-34*28=,-931
48-44-37=,-33
42*29+46=,1264
13-(26+22)=,-35
46*(16+28)=,2024
(22*47)+26=,1060
38+(17*30)=,548
(47-19)+42=,70
33+(36-11)=,58
15+23*16=,383
34*(46-42)=,136
(43*24)-11=,1021
(48*40)+20=,1940
46-39+12=,19
49-36*43=,-1499
13+14+37=,64
46-17*48=,-770
43-29-23=,-9
14-(11+23)=,-20
(39*13)-41=,466
36+(47*22)=,1070
41*(48+37)=,3485
30-(20*49)=,-950
36*(28+47)=,2700
(10*29)+10=,300
35-28+46=,53
(14-12)+17=,19
(43+31)*30=,2220
47*(15-10)=,235
24+24+16=,64
15+(41-38)=,18
24*30*31=,22320
41+(36*34)=,1265
30-47*41=,-1897
31+(31-42)=,20
12*(24-41)=,-204
21-(42*18)=,-735
27*(41+16)=,1539
40-38*43=,-1594
(25*14)-44=,306
(14*31)-49=,385
(20+11)-27=,4
42*(33+23)=,2352
37+32*18=,613
34+(14*11)=,188
41-(41*40)=,-1599
39*35*34=,46410
26-10-40=,-24
14*33-21=,441
22-(40+48)=,-66
24-40*34=,-1336
20*(15-33)=,-360
(16*35)-47=,513
16*(21-41)=,-320
22+36+23=,81
16+42+37=,95
36*(23-47)=,-864
35*(24+46)=,2450
23+35-40=,18
33*43-26=,1393
23-23-27=,-27
(14+14)-22=,6
38+39*14=,584
11*(18-27)=,-99
15*48*14=,10080
(48*21)+10=,1018
36-(22*16)=,-316
36+(38*34)=,1328
40*(43+20)=,2520
(31*38)-44=,1134
26*(27+41)=,1768
41-46-13=,-18
39+(42-31)=,50
16*32+36=,548
(48+28)-33=,43
19*30+46=,616
11*34*10=,3740
(27+33)-14=,46
42-(26+49)=,-33
23*38*37=,32338
31+(41*47)=,1958
26+(12*19)=,254
(44+12)*22=,1232
(18*48)+41=,905
(17-10)+40=,47
48+(48*24)=,1200
45-26*46=,-1151
25+11*42=,487
30+34*22=,778
38*40*14=,21280
12+(48*45)=,2172
28*14*14=,5488
23-(18*17)=,-283
41+(24*48)=,1193
(48+29)*37=,2849
15*(35-30)=,75
21*(49-43)=,126
(47-30)+29=,46
(47*28)-49=,1267
(41+34)*26=,1950
41*28*47=,53956
(28-18)+28=,38
(12*41)-30=,462
18-(25*42)=,-1032
30+(40*44)=,1790
(29*16)+33=,497
23-16-19=,-12
27+47*35=,1672
17*15-41=,214
26-46*29=,-1308
34+25*41=,1059
46*48*28=,61824
10-26+42=,26
17*(43+24)=,1139
30-(36*39)=,-1374
(40+20)*18=,1080
10-18-12=,-20
21-45+13=,-11
14+(35*32)=,1134
46-(41+25)=,-20
(24-37)*12=,-156
24-16-37=,-29
45*18+22=,832
41-(32*37)=,-1143
27*16+22=,454
23+(47*16)=,775
(32-16)*39=,624
29*(42-43)=,-29
44-(43+10)=,-9
32*39+29=,1277
16-16+20=,20
10*24+19=,259
(36+14)-15=,35
42*(37-34)=,126
26-(24+13)=,-11
(47+12)*13=,767
(26*11)+49=,335
30*(32-19)=,390
39-(26+39)=,-26
16-48-31=,-63
(35-37)*39=,-78
13*(43-11)=,416
(46+23)-23=,46
44-43-33=,-32
22*(39+19)=,1276
(10-17)*34=,-238
16+15+36=,67
(17*20)+15=,355
18-(25*25)=,-607
31-33-11=,-13
49+38*41=,1607
36*11+29=,425
24-22*37=,-790
17*(13-24)=,-187
25*40*15=,15000
22-49-17=,-44
28+17*18=,334
23-(22*11)=,-219
43+42+47=,132
(38-20)+29=,47
(22-37)*25=,-375
(30+17)-46=,1
(35*10)+49=,399
(27-47)*22=,-440
43+(47*42)=,2017
15-(12+22)=,-19
11*(36-35)=,11
(25-36)+10=,-1
19+(17-16)=,20
22+15*17=,277
(49*33)+25=,1642
12+(24*22)=,540
13-(13*10)=,-117
36*20+47=,767
(23*10)+31=,261
16*(28-11)=,272
(37+22)-41=,18
(36+37)-40=,33
(21-25)*42=,-168
49+29*41=,1238
(15*21)-31=,284
35-12*36=,-397
46-42+25=,29
(45*17)-46=,719
(13-35)*43=,-946
42*46*24=,46368
41-49*13=,-596
42*41*11=,18942
32*41+25=,1337
(32+17)-20=,29
(11+48)-17=,42
(44+43)*12=,1044
(40+34)*23=,1702
42-(38*30)=,-1098
30+42-39=,33
36-(35+16)=,-15
35-39+49=,45
(38-45)*23=,-161
(41-33)+30=,38
32+39+36=,107
21-(31+25)=,-35
12*(30+12)=,504
31-(26+44)=,-39
(49+49)-15=,83
(47+48)-28=,67
39*(37-48)=,-429
41+10-40=,11
(39-37)*22=,44
(34+21)*41=,2255
35-29-32=,-26
30-(39+30)=,-39
20-38*32=,-1196
(20*17)+19=,359
36+19-18=,37
32-40*48=,-1888
22-41*44=,-1782
23*11*35=,8855
37-21-49=,-33
39-36+22=,25
43-(17*47)=,-756
44-(42*11)=,-418
16+(24-14)=,26
29-28*33=,-895
43-25*28=,-657
17+48+43=,108
43-(43*46)=,-1935
37-41*11=,-414
48+37-23=,62
(14+16)*18=,540
18-32+22=,8
