467410, 20220813,     29.2,      2.1,     90.0,      0.0,      0.0,    13.58,   130000
467410, 20220814,     30.2,      2.3,    310.0,      0.0,      0.0,    11.64,   140000
467410, 20220815,     28.8,      2.0,    120.0,     20.5,      2.5,     8.33,   140000
467410, 20220816,     28.8,      2.0,     20.0,     19.0,      2.1,    10.73,   110000
467410, 20220817,     28.5,      2.6,    220.0,     28.0,      4.3,    12.77,   130000
467410, 20220818,     27.1,      1.9,     90.0,     46.5,      3.6,     7.37,   100000
467410, 20220819,     29.1,      4.8,    180.0,      0.0,      0.0,    13.84,   130000
467410, 20220820,     30.0,      2.6,    260.0,      0.0,      0.0,    13.46,   120000
467410, 20220821,     30.0,      2.6,    300.0,      0.0,      0.0,    12.87,   120000
467410, 20220822,     30.5,      2.0,    190.0,      0.0,      0.0,     13.9,   130000
467410, 20220823,     31.1,      3.2,    340.0,      0.0,      0.0,    13.35,   130000
467410, 20220824,     30.5,      2.8,    150.0,     -9.8,      0.8,      8.2,   120000
467410, 20220825,     30.5,      3.8,    190.0,      0.0,      0.0,    13.88,   120000
467410, 20220826,     30.6,      2.7,    310.0,      0.0,      0.0,    13.17,   130000
467410, 20220827,     30.7,      2.1,    240.0,      0.0,      0.0,    12.94,   130000
467410, 20220828,     29.2,      2.0,     60.0,      6.5,      4.2,    11.96,   120000
467410, 20220829,     28.7,      2.0,    260.0,     -9.8,      0.1,    10.57,   130000
467410, 20220830,     29.8,      2.4,    130.0,     -9.8,      0.1,    12.94,   120000
467410, 20220831,     30.0,      2.3,    130.0,      0.0,      0.0,     12.5,   130000
